t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9999482923e-01	2.5791850152e-05	1.8828007764e-03	2.5791850152e-05	-1.8828007764e-03	5.1707714606e-06	
2.0000000000e+00	9.9998359202e-01	8.1667239238e-05	3.7629771028e-03	8.1667239238e-05	-3.7629771028e-03	1.6407983072e-05	
3.0000000000e+00	9.9996316112e-01	1.8301097860e-04	5.6380665341e-03	1.8301097860e-04	-5.6380665341e-03	3.6838882414e-05	
4.0000000000e+00	9.9994273022e-01	2.8435471796e-04	7.5131559653e-03	2.8435471796e-04	-7.5131559653e-03	5.7269781757e-05	
5.0000000000e+00	9.9990481154e-01	4.7066294010e-04	9.3685748031e-03	4.7066294010e-04	-9.3685748031e-03	9.5188461946e-05	
6.0000000000e+00	9.9986555127e-01	6.6348928215e-04	1.1222484595e-02	6.6348928215e-04	-1.1222484595e-02	1.3444873157e-04	
7.0000000000e+00	9.9982629100e-01	8.5631562419e-04	1.3076394387e-02	8.5631562419e-04	-1.3076394387e-02	1.7370900119e-04	
8.0000000000e+00	9.9976655249e-01	1.1455420630e-03	1.4892691537e-02	1.1455420630e-03	-1.4892691537e-02	2.3344750859e-04	
9.0000000000e+00	9.9970560806e-01	1.4404453220e-03	1.6706773749e-02	1.4404453220e-03	-1.6706773749e-02	2.9439194084e-04	
1.0000000000e+01	9.9964466363e-01	1.7353485809e-03	1.8520855960e-02	1.7353485809e-03	-1.8520855960e-02	3.5533637309e-04	
1.1000000000e+01	9.9956886717e-01	2.0968830449e-03	2.0296125364e-02	2.0968830449e-03	-2.0296125364e-02	4.3113283240e-04	
1.2000000000e+01	9.9948529156e-01	2.4933174130e-03	2.2051065504e-02	2.4933174130e-03	-2.2051065504e-02	5.1470844448e-04	
1.3000000000e+01	9.9940171594e-01	2.8897517812e-03	2.3806005644e-02	2.8897517812e-03	-2.3806005644e-02	5.9828405656e-04	
1.4000000000e+01	9.9931324705e-01	3.3067068065e-03	2.5544235160e-02	3.3067068065e-03	-2.5544235160e-02	6.8675294967e-04	
1.5000000000e+01	9.9920713454e-01	3.7976528128e-03	2.7222211467e-02	3.7976528128e-03	-2.7222211467e-02	7.9286546213e-04	
1.6000000000e+01	9.9910102203e-01	4.2885988191e-03	2.8900187773e-02	4.2885988191e-03	-2.8900187773e-02	8.9897797459e-04	
1.7000000000e+01	9.9899490951e-01	4.7795448253e-03	3.0578164079e-02	4.7795448253e-03	-3.0578164079e-02	1.0050904870e-03	
1.8000000000e+01	9.9887366585e-01	5.3284027483e-03	3.2192182464e-02	5.3284027483e-03	-3.2192182464e-02	1.1263341536e-03	
1.9000000000e+01	9.9874566812e-01	5.9031106850e-03	3.3777652093e-02	5.9031106850e-03	-3.3777652093e-02	1.2543318799e-03	
2.0000000000e+01	9.9861767039e-01	6.4778186218e-03	3.5363121721e-02	6.4778186218e-03	-3.5363121721e-02	1.3823296063e-03	
2.1000000000e+01	9.9848754215e-01	7.0597340621e-03	3.6937840750e-02	7.0597340621e-03	-3.6937840750e-02	1.5124578500e-03	
