t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9986787220e-01	1.0591169701e-04	1.1253826600e-02	1.0591169701e-04	-1.1253826600e-02	1.3212779814e-04	
2.0000000000e+00	9.9947818057e-01	3.9895884002e-04	2.2279149053e-02	3.9895884002e-04	-2.2279149053e-02	5.2181943164e-04	
3.0000000000e+00	9.9885446927e-01	8.3464374087e-04	3.2936395980e-02	8.3464374087e-04	-3.2936395980e-02	1.1455307296e-03	
4.0000000000e+00	9.9800292430e-01	1.3776049459e-03	4.3082080115e-02	1.3776049459e-03	-4.3082080115e-02	1.9970756988e-03	
5.0000000000e+00	9.9690909346e-01	1.9925293769e-03	5.2510807002e-02	1.9925293769e-03	-5.2510807002e-02	3.0909065420e-03	
6.0000000000e+00	9.9561799899e-01	2.6261301755e-03	6.1213247437e-02	2.6261301755e-03	-6.1213247437e-02	4.3820010078e-03	
7.0000000000e+00	9.9414236796e-01	3.2393549415e-03	6.9116595819e-02	3.2393549415e-03	-6.9116595819e-02	5.8576320419e-03	
8.0000000000e+00	9.9249702048e-01	3.7941554573e-03	7.6171031716e-02	3.7941554573e-03	-7.6171031716e-02	7.5029795229e-03	
9.0000000000e+00	9.9069973032e-01	4.2564114552e-03	8.2359198175e-02	4.2564114552e-03	-8.2359198175e-02	9.3002696794e-03	
1.0000000000e+01	9.8877263804e-01	4.6019993660e-03	8.7714687383e-02	4.6019993660e-03	-8.7714687383e-02	1.1227361962e-02	
1.1000000000e+01	9.8673701263e-01	4.8176761974e-03	9.2298155631e-02	4.8176761974e-03	-9.2298155631e-02	1.3262987369e-02	
1.2000000000e+01	9.8460757071e-01	4.8912054556e-03	9.6146525703e-02	4.8912054556e-03	-9.6146525703e-02	1.5392429286e-02	
1.3000000000e+01	9.8239841537e-01	4.8145357665e-03	9.9304573356e-02	4.8145357665e-03	-9.9304573356e-02	1.7601584633e-02	
1.4000000000e+01	9.8012426195e-01	4.5878362408e-03	1.0183788691e-01	4.5878362408e-03	-1.0183788691e-01	1.9875738046e-02	
1.5000000000e+01	9.7779879307e-01	4.2178118118e-03	1.0382051315e-01	4.2178118118e-03	-1.0382051315e-01	2.2201206930e-02	
1.6000000000e+01	9.7543392640e-01	3.7152229025e-03	1.0532556701e-01	3.7152229025e-03	-1.0532556701e-01	2.4566073602e-02	
1.7000000000e+01	9.7303981044e-01	3.0932376672e-03	1.0642144061e-01	3.0932376672e-03	-1.0642144061e-01	2.6960189558e-02	
1.8000000000e+01	9.7062502171e-01	2.3663744929e-03	1.0717054245e-01	2.3663744929e-03	-1.0717054245e-01	2.9374978292e-02	
1.9000000000e+01	9.6819676309e-01	1.5497123067e-03	1.0762888383e-01	1.5497123067e-03	-1.0762888383e-01	3.1803236913e-02	
2.0000000000e+01	9.6576101740e-01	6.5821857697e-04	1.0784596078e-01	6.5821857697e-04	-1.0784596078e-01	3.4238982597e-02	
2.1000000000e+01	9.6332264909e-01	-2.9385712169e-04	1.0786480748e-01	-2.9385712169e-04	-1.0786480748e-01	3.6677350913e-02	
2.2000000000e+01	9.6088544738e-01	-1.2935383642e-03	1.0772221968e-01	-1.2935383642e-03	-1.0772221968e-01	3.9114552619e-02	
2.3000000000e+01	9.5845397353e-01	-2.3352206861e-03	1.0742509145e-01	-2.3352206861e-03	-1.0742509145e-01	4.1546026468e-02	
2.4000000000e+01	9.5603100494e-01	-3.4021841607e-03	1.0701907774e-01	-3.4021841607e-03	-1.0701907774e-01	4.3968995064e-02	
2.5000000000e+01	9.5361773323e-01	-4.4847831471e-03	1.0653050954e-01	-4.4847831471e-03	-1.0653050954e-01	4.6382266769e-02	
2.6000000000e+01	9.5121411963e-01	-5.5774464049e-03	1.0597689073e-01	-5.5774464049e-03	-1.0597689073e-01	4.8785880374e-02	
2.7000000000e+01	9.4882718411e-01	-6.6768434436e-03	1.0534361370e-01	-6.6768434436e-03	-1.0534361370e-01	5.1172815892e-02	
2.8000000000e+01	9.4645538143e-01	-7.7744023846e-03	1.0466206429e-01	-7.7744023846e-03	-1.0466206429e-01	5.3544618569e-02	
2.9000000000e+01	9.4409259344e-01	-8.8708663640e-03	1.0395175884e-01	-8.8708663640e-03	-1.0395175884e-01	5.5907406556e-02	
3.0000000000e+01	9.4175823047e-01	-9.9540691203e-03	1.0317990124e-01	-9.9540691203e-03	-1.0317990124e-01	5.8241769532e-02	
3.1000000000e+01	9.3942962931e-01	-1.1033271877e-02	1.0239914123e-01	-1.1033271877e-02	-1.0239914123e-01	6.0570370687e-02	
3.2000000000e+01	9.3713095614e-01	-1.2090421332e-02	1.0157561848e-01	-1.2090421332e-02	-1.0157561848e-01	6.2869043865e-02	
3.3000000000e+01	9.3483730771e-01	-1.3142407674e-02	1.0074800624e-01	-1.3142407674e-02	-1.0074800624e-01	6.5162692287e-02	
3.4000000000e+01	9.3257844918e-01	-1.4158646185e-02	9.9892079603e-02	-1.4158646185e-02	-9.9892079603e-02	6.7421550820e-02	
3.5000000000e+01	9.3031959065e-01	-1.5174884696e-02	9.9036152963e-02	-1.5174884696e-02	-9.9036152963e-02	6.9680409354e-02	
3.6000000000e+01	9.2810190631e-01	-1.6131882085e-02	9.8171503050e-02	-1.6131882085e-02	-9.8171503050e-02	7.1898093686e-02	
3.7000000000e+01	9.2588613225e-01	-1.7086131002e-02	9.7306448424e-02	-1.7086131002e-02	-9.7306448424e-02	7.4113867754e-02	
3.8000000000e+01	9.2370113556e-01	-1.7977027785e-02	9.6454625691e-02	-1.7977027785e-02	-9.6454625691e-02	7.6298864439e-02	
3.9000000000e+01	9.2152875535e-01	-1.8841954834e-02	9.5608227065e-02	-1.8841954834e-02	-9.5608227065e-02	7.8471244650e-02	
4.0000000000e+01	9.1937610616e-01	-1.9649225057e-02	9.4783511296e-02	-1.9649225057e-02	-9.4783511296e-02	8.0623893845e-02	
4.1000000000e+01	9.1724453264e-01	-2.0394909148e-02	9.3981956069e-02	-2.0394909148e-02	-9.3981956069e-02	8.2755467355e-02	
4.2000000000e+01	9.1512551376e-01	-2.1090532205e-02	9.3202060445e-02	-2.1090532205e-02	-9.3202060445e-02	8.4874486242e-02	
4.3000000000e+01	9.1303073880e-01	-2.1689483598e-02	9.2463991159e-02	-2.1689483598e-02	-9.2463991159e-02	8.6969261198e-02	
4.4000000000e+01	9.1094471147e-01	-2.2243568229e-02	9.1745150219e-02	-2.2243568229e-02	-9.1745150219e-02	8.9055288534e-02	
4.5000000000e+01	9.0888309578e-01	-2.2672444878e-02	9.1079969101e-02	-2.2672444878e-02	-9.1079969101e-02	9.1116904218e-02	
4.6000000000e+01	9.0682655505e-01	-2.3070343830e-02	9.0426730704e-02	-2.3070343830e-02	-9.0426730704e-02	9.3173444947e-02	
4.7000000000e+01	9.0479616029e-01	-2.3308646966e-02	8.9835020719e-02	-2.3308646966e-02	-8.9835020719e-02	9.5203839711e-02	
4.8000000000e+01	9.0276576553e-01	-2.3546950102e-02	8.9243310733e-02	-2.3546950102e-02	-8.9243310733e-02	9.7234234475e-02	
4.9000000000e+01	9.0076058227e-01	-2.3623853450e-02	8.8700983159e-02	-2.3623853450e-02	-8.8700983159e-02	9.9239417733e-02	
5.0000000000e+01	8.9875951674e-01	-2.3674395754e-02	8.8166721096e-02	-2.3674395754e-02	-8.8166721096e-02	1.0124048326e-01	
5.1000000000e+01	8.9677187170e-01	-2.3651519319e-02	8.7645375938e-02	-2.3651519319e-02	-8.7645375938e-02	1.0322812830e-01	
5.2000000000e+01	8.9479601790e-01	-2.3564137069e-02	8.7135379592e-02	-2.3564137069e-02	-8.7135379592e-02	1.0520398210e-01	
5.3000000000e+01	8.9283266811e-01	-2.3433677576e-02	8.6622092286e-02	-2.3433677576e-02	-8.6622092286e-02	1.0716733189e-01	
5.4000000000e+01	8.9087904254e-01	-2.3269717428e-02	8.6106245639e-02	-2.3269717428e-02	-8.6106245639e-02	1.0912095746e-01	
5.5000000000e+01	8.8894027511e-01	-2.3089011592e-02	8.5571786402e-02	-2.3089011592e-02	-8.5571786402e-02	1.1105972489e-01	
5.6000000000e+01	8.8700854677e-01	-2.2900372449e-02	8.5028509411e-02	-2.2900372449e-02	-8.5028509411e-02	1.1299145323e-01	
5.7000000000e+01	8.8509677833e-01	-2.2730151145e-02	8.4448418896e-02	-2.2730151145e-02	-8.4448418896e-02	1.1490322167e-01	
5.8000000000e+01	8.8319109393e-01	-2.2570928444e-02	8.3856381801e-02	-2.2570928444e-02	-8.3856381801e-02	1.1680890607e-01	
5.9000000000e+01	8.8130581683e-01	-2.2461002100e-02	8.3222602024e-02	-2.2461002100e-02	-8.3222602024e-02	1.1869418317e-01	
6.0000000000e+01	8.7943119473e-01	-2.2386541522e-02	8.2568019344e-02	-2.2386541522e-02	-8.2568019344e-02	1.2056880527e-01	
6.1000000000e+01	8.7757264158e-01	-2.2365567297e-02	8.1882063551e-02	-2.2365567297e-02	-8.1882063551e-02	1.2242735842e-01	
6.2000000000e+01	8.7573159200e-01	-2.2409822138e-02	8.1167071384e-02	-2.2409822138e-02	-8.1167071384e-02	1.2426840800e-01	
