t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9998182695e-01	4.5343059707e-05	3.7659663078e-03	4.5343059707e-05	-3.7659663078e-03	1.8173052782e-05	
2.0000000000e+00	9.9993231502e-01	1.6845771023e-04	7.5253511253e-03	1.6845771023e-04	-7.5253511253e-03	6.7684978849e-05	
3.0000000000e+00	9.9986587583e-01	3.3353150913e-04	1.1280701552e-02	3.3353150913e-04	-1.1280701552e-02	1.3412417372e-04	
4.0000000000e+00	9.9975689164e-01	6.0272025840e-04	1.5015720850e-02	6.0272025840e-04	-1.5015720850e-02	2.4310835605e-04	
5.0000000000e+00	9.9963076768e-01	9.1385301484e-04	1.8742549499e-02	9.1385301484e-04	-1.8742549499e-02	3.6923231757e-04	
6.0000000000e+00	9.9947950790e-01	1.2851762777e-03	2.2449900101e-02	1.2851762777e-03	-2.2449900101e-02	5.2049210042e-04	
7.0000000000e+00	9.9928486583e-01	1.7603832316e-03	2.6123633254e-02	1.7603832316e-03	-2.6123633254e-02	7.1513417148e-04	
8.0000000000e+00	9.9909022376e-01	2.2355901854e-03	2.9797366406e-02	2.2355901854e-03	-2.9797366406e-02	9.0977624254e-04	
9.0000000000e+00	9.9883819816e-01	2.8439301345e-03	3.3408065753e-02	2.8439301345e-03	-3.3408065753e-02	1.1618018423e-03	
1.0000000000e+01	9.9857182256e-01	3.4855628845e-03	3.7003002126e-02	3.4855628845e-03	-3.7003002126e-02	1.4281774415e-03	
1.1000000000e+01	9.9829605111e-01	4.1480899360e-03	4.0584480120e-02	4.1480899360e-03	-4.0584480120e-02	1.7039488914e-03	
1.2000000000e+01	9.9795767808e-01	4.9498291073e-03	4.4076289195e-02	4.9498291073e-03	-4.4076289195e-02	2.0423219221e-03	
1.3000000000e+01	9.9761930505e-01	5.7515682785e-03	4.7568098271e-02	5.7515682785e-03	-4.7568098271e-02	2.3806949527e-03	
1.4000000000e+01	9.9725195733e-01	6.6143253026e-03	5.1008607790e-02	6.6143253026e-03	-5.1008607790e-02	2.7480426728e-03	
1.5000000000e+01	9.9684282982e-01	7.5650664495e-03	5.4375146393e-02	7.5650664495e-03	-5.4375146393e-02	3.1571701758e-03	
1.6000000000e+01	9.9643370232e-01	8.5158075964e-03	5.7741684996e-02	8.5158075964e-03	-5.7741684996e-02	3.5662976788e-03	
1.7000000000e+01	9.9597947830e-01	9.5552055900e-03	6.1013002400e-02	9.5552055900e-03	-6.1013002400e-02	4.0205217023e-03	
1.8000000000e+01	9.9550166775e-01	1.0640973157e-02	6.4234516924e-02	1.0640973157e-02	-6.4234516924e-02	4.4983322452e-03	
1.9000000000e+01	9.9502385721e-01	1.1726740725e-02	6.7456031447e-02	1.1726740725e-02	-6.7456031447e-02	4.9761427880e-03	
2.0000000000e+01	9.9448804451e-01	1.2917069670e-02	7.0535079786e-02	1.2917069670e-02	-7.0535079786e-02	5.5119554942e-03	
2.1000000000e+01	9.9394414258e-01	1.4121981167e-02	7.3594259214e-02	1.4121981167e-02	-7.3594259214e-02	6.0558574164e-03	
2.2000000000e+01	9.9339565804e-01	1.5334290766e-02	7.6640577126e-02	1.5334290766e-02	-7.6640577126e-02	6.6043419606e-03	
2.3000000000e+01	9.9278863287e-01	1.6641107289e-02	7.9522595823e-02	1.6641107289e-02	-7.9522595823e-02	7.2113671274e-03	
2.4000000000e+01	9.9218160771e-01	1.7947923812e-02	8.2404614520e-02	1.7947923812e-02	-8.2404614520e-02	7.8183922942e-03	
2.5000000000e+01	9.9156026364e-01	1.9274762731e-02	8.5241310964e-02	1.9274762731e-02	-8.5241310964e-02	8.4397363590e-03	
2.6000000000e+01	9.9089338629e-01	2.0665271741e-02	8.7933885195e-02	2.0665271741e-02	-8.7933885195e-02	9.1066137128e-03	
2.7000000000e+01	9.9022650893e-01	2.2055780750e-02	9.0626459426e-02	2.2055780750e-02	-9.0626459426e-02	9.7734910665e-03	
2.8000000000e+01	9.8953854662e-01	2.3470558875e-02	9.3244490561e-02	2.3470558875e-02	-9.3244490561e-02	1.0461453384e-02	
2.9000000000e+01	9.8881534597e-01	2.4925896853e-02	9.5737941253e-02	2.4925896853e-02	-9.5737941253e-02	1.1184654029e-02	
