t	rho11	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	rho22	
0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	
1.0000000000e+00	9.9993945039e-01	7.2036716660e-05	7.4942119834e-03	7.2036716660e-05	-7.4942119834e-03	6.0549613688e-05	
2.0000000000e+00	9.9977039395e-01	2.5910065747e-04	1.4820249662e-02	2.5910065747e-04	-1.4820249662e-02	2.2960604576e-04	
3.0000000000e+00	9.9948942731e-01	5.4070115922e-04	2.1835573400e-02	5.4070115922e-04	-2.1835573400e-02	5.1057268799e-04	
4.0000000000e+00	9.9910955116e-01	8.7977055025e-04	2.8453574534e-02	8.7977055025e-04	-2.8453574534e-02	8.9044884296e-04	
5.0000000000e+00	9.9863515026e-01	1.2465848505e-03	3.4583581307e-02	1.2465848505e-03	-3.4583581307e-02	1.3648497351e-03	
6.0000000000e+00	9.9807216343e-01	1.6097265650e-03	4.0153014227e-02	1.6097265650e-03	-4.0153014227e-02	1.9278365700e-03	
7.0000000000e+00	9.9742780092e-01	1.9379777250e-03	4.5110492695e-02	1.9379777250e-03	-4.5110492695e-02	2.5721990782e-03	
8.0000000000e+00	9.9671083624e-01	2.2028165383e-03	4.9433070111e-02	2.2028165383e-03	-4.9433070111e-02	3.2891637569e-03	
9.0000000000e+00	9.9593306008e-01	2.3847130331e-03	5.3149389964e-02	2.3847130331e-03	-5.3149389964e-02	4.0669399205e-03	
1.0000000000e+01	9.9510818404e-01	2.4810375137e-03	5.6346791580e-02	2.4810375137e-03	-5.6346791580e-02	4.8918159604e-03	
1.1000000000e+01	9.9424172971e-01	2.4849095546e-03	5.9048489854e-02	2.4849095546e-03	-5.9048489854e-02	5.7582702920e-03	
1.2000000000e+01	9.9333651093e-01	2.3805276574e-03	6.1241082339e-02	2.3805276574e-03	-6.1241082339e-02	6.6634890672e-03	
1.3000000000e+01	9.9239843756e-01	2.1604346934e-03	6.2952847430e-02	2.1604346934e-03	-6.2952847430e-02	7.6015624406e-03	
1.4000000000e+01	9.9143841567e-01	1.8473697294e-03	6.4310991101e-02	1.8473697294e-03	-6.4310991101e-02	8.5615843298e-03	
1.5000000000e+01	9.9046067132e-01	1.4476382851e-03	6.5358612556e-02	1.4476382851e-03	-6.5358612556e-02	9.5393286801e-03	
1.6000000000e+01	9.8946931273e-01	9.7083095819e-04	6.6143509237e-02	9.7083095819e-04	-6.6143509237e-02	1.0530687273e-02	
1.7000000000e+01	9.8846791843e-01	4.2808832549e-04	6.6711557204e-02	4.2808832549e-04	-6.6711557204e-02	1.1532081567e-02	
1.8000000000e+01	9.8745945295e-01	-1.6909658610e-04	6.7103955904e-02	-1.6909658610e-04	-6.7103955904e-02	1.2540547047e-02	
1.9000000000e+01	9.8644628300e-01	-8.0973979764e-04	6.7356228646e-02	-8.0973979764e-04	-6.7356228646e-02	1.3553716997e-02	
2.0000000000e+01	9.8543020742e-01	-1.4840470102e-03	6.7498055528e-02	-1.4840470102e-03	-6.7498055528e-02	1.4569792583e-02	
